2026-03-28 13:22:25,409 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,414 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,418 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,420 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,425 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:32:16,250 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-28 13:32:16,312 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-28 13:32:16,367 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-28 13:32:17,382 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-28 13:32:17,452 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-28 13:32:17,520 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-29 18:26:51,768 - ERROR - [embeddings_pipeline] generate_embedding error: memory layout cannot be allocated (status code: 500)
2026-03-29 18:26:52,069 - ERROR - [embeddings_pipeline] generate_embedding error: memory layout cannot be allocated (status code: 500)
2026-03-29 18:26:52,373 - ERROR - [embeddings_pipeline] generate_embedding error: memory layout cannot be allocated (status code: 500)
